"ID","NAKB NA","NAKB Protein","NAKB Ligand"
"7BL5","ribosomal RNA","hydrolase, isomerase, ribosome, translation",""
"7BL6","ribosomal RNA","hydrolase, ribosome",""
"7BOD","ribosomal RNA","ribosome",""
"7BOE","ribosomal RNA","ribosome",""
"7BOF","ribosomal RNA","ribosome",""
"7BOG","ribosomal RNA","ribosome, translation",""
"7BOH","ribosomal RNA","ribosome, translation",""
"7BOI","ribosomal RNA","hydrolase, ribosome",""
"7BT6","ribosomal RNA","ribosome, translation",""
"7BTB","ribosomal RNA","ribosome, translation",""
"7BV8","ribosomal RNA","ribosome",""
"7CPJ","ribosomal RNA, transfer RNA","ribosome",""
"7CPU","ribosomal RNA, transfer RNA","ribosome",""
"7CPV","ribosomal RNA, transfer RNA","ribosome",""
"7D4I","ribosomal RNA, small nucleolar RNA (snoRNA)","exosome, helicase, hydrolase, methylase, ribosome, spliceosome, splicing, translation",""
"7D5S","ribosomal RNA, small nucleolar RNA (snoRNA)","methylase, ribosome, spliceosome, splicing, translation",""
"7D5T","ribosomal RNA, small nucleolar RNA (snoRNA)","helicase, methylase, ribosome, spliceosome, splicing, translation",""
"7D63","ribosomal RNA, small nucleolar RNA (snoRNA)","helicase, methylase, regulatory, ribosome, spliceosome, splicing, transferase, translation",""
"7D6Z","ribosomal RNA, transfer RNA","hydrolase, isomerase, ribosome",""
"7D80","ribosomal RNA, transfer RNA","hydrolase, isomerase, ribosome",""
"7DUG","ribosomal RNA, transfer RNA","ribosome",""
"7DUH","ribosomal RNA, transfer RNA","ribosome",""
"7DUI","ribosomal RNA, transfer RNA","ribosome",""
"7DUJ","ribosomal RNA, transfer RNA","ribosome",""
"7DUK","ribosomal RNA, transfer RNA","ribosome",""
"7DUL","ribosomal RNA, transfer RNA","ribosome",""
"7EDL","ribosomal RNA","",""
"7EDM","ribosomal RNA","",""
"7EDN","ribosomal RNA","",""
"7EEM","ribosomal RNA","",""
"7F0D","ribosomal RNA","ribosome",""
"7F5S","ribosomal RNA","ribosome",""
"7JIL","ribosomal RNA","ribosome",""
"7JJD","ribosomal RNA","",""
"7JJE","ribosomal RNA","",""
"7JJF","ribosomal RNA","",""
"7JQB","ribosomal RNA","ribosome, translation",""
"7JQC","ribosomal RNA, IRES element","ribosome, translation",""
"7JQL","ribosomal RNA, transfer RNA","ribosome",""
"7JQM","ribosomal RNA, transfer RNA","ribosome",""
"7JSS","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"7JSW","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"7JSZ","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"7JT1","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"7JT2","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"7JT3","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"7K00","ribosomal RNA, transfer RNA","ribosome",""
"7K50","ribosomal RNA, transfer RNA","ribosome",""
"7K51","ribosomal RNA, transfer RNA","ribosome, translation",""
"7K52","ribosomal RNA, transfer RNA","ribosome, translation",""
"7K53","ribosomal RNA, transfer RNA","ribosome",""
"7K54","ribosomal RNA, transfer RNA","ribosome, translation",""
"7K55","ribosomal RNA, transfer RNA","ribosome, translation",""
"7K5I","ribosomal RNA","ribosome, translation",""
"7KGB","ribosomal RNA, transfer RNA","ribosome",""
"7KWG","ribosomal RNA","ribosome",""
"7L08","ribosomal RNA, transfer RNA","ribosome, translation",""
"7L20","ribosomal RNA, transfer RNA","ribosome, translation",""
"7L3R","ribosomal RNA","",""
"7LH5","ribosomal RNA, transfer RNA","ribosome",""
"7LS1","ribosomal RNA, transfer RNA","ribosome, translation",""
"7LS2","ribosomal RNA, transfer RNA","ribosome, translation",""
"7LV0","ribosomal RNA, transfer RNA","ribosome",""
"7LVK","ribosomal RNA","ribosome",""
"7M3V","ribosomal RNA","",""
"7M4U","ribosomal RNA","ribosome",""
"7M4V","ribosomal RNA","ribosome",""
"7M4W","ribosomal RNA","ribosome",""
"7M4X","ribosomal RNA, transfer RNA","ribosome",""
"7M4Y","ribosomal RNA, transfer RNA","ribosome",""
"7M4Z","ribosomal RNA","ribosome",""
"7M5D","ribosomal RNA, transfer RNA","ribosome, translation",""
"7MD7","ribosomal RNA","ribosome",""
"7MDZ","ribosomal RNA, transfer RNA","ribosome",""
"7MPI","ribosomal RNA","ribosome, translation",""
"7MPJ","ribosomal RNA","ribosome, translation",""
"7MQ8","ribosomal RNA, small nucleolar RNA (snoRNA)","chromatin, methylase, post-transcriptional, ribosome, spliceosome, splicing, transferase, translation",""
"7MQ9","ribosomal RNA, small nucleolar RNA (snoRNA)","chromatin, methylase, post-transcriptional, ribosome, spliceosome, splicing, transferase, translation",""
"7MQA","ribosomal RNA, small nucleolar RNA (snoRNA)","exosome, helicase, methylase, post-transcriptional, ribosome, spliceosome, splicing, translation",""
"7MSC","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"7MSH","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"7MSM","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"7MSZ","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"7MT2","ribosomal RNA, transfer RNA","ribosome",""
"7MT3","ribosomal RNA, transfer RNA","ribosome",""
"7MT7","ribosomal RNA, transfer RNA","ribosome",""
"7N1P","ribosomal RNA, transfer RNA","ribosome",""
"7N2C","ribosomal RNA, transfer RNA","ribosome, translation",""
"7N2U","ribosomal RNA, transfer RNA","ribosome",""
"7N2V","ribosomal RNA, transfer RNA","ribosome, translation",""
"7N30","ribosomal RNA, transfer RNA","ribosome",""
"7N31","ribosomal RNA, transfer RNA","ribosome",""
"7N8B","ribosomal RNA","ribosome, translation",""
"7NAC","ribosomal RNA","helicase, methylase, ribosome, splicing, transcription, translation",""
"7NAD","ribosomal RNA","helicase, methylase, ribosome, translation",""
"7NAF","ribosomal RNA","methylase, ribosome, translation",""
"7NAR","ribosomal RNA","hydrolase, ribosome",""
"7NAS","ribosomal RNA","ribosome",""
"7NAT","ribosomal RNA","ribosome",""
"7NAU","ribosomal RNA","ribosome",""
"7NAV","ribosomal RNA","ribosome, translation",""
"7NAX","ribosomal RNA","ribosome",""
"7NBU","ribosomal RNA, transfer RNA","nuclease, ribosome",""
"7NFX","ribosomal RNA, SRP RNA","ribosome, signal recognition particle (SRP)",""
"7NHK","ribosomal RNA, transfer RNA","ribosome",""
"7NHL","ribosomal RNA, transfer RNA","ribosome, translation",""
"7NHM","ribosomal RNA, transfer RNA","ribosome",""
"7NHN","ribosomal RNA, transfer RNA","ribosome, translation",""
"7NQH","ribosomal RNA, transfer RNA","ribosome, translation",""
"7NQL","ribosomal RNA, transfer RNA","ribosome, translation",""
"7NRC","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"7NRD","ribosomal RNA, transfer RNA","ribosome",""
"7NSH","ribosomal RNA, transfer RNA","ribosome, translation",""
"7NSI","ribosomal RNA, transfer RNA","ribosome, translation",""
"7NSJ","ribosomal RNA, transfer RNA","ribosome, translation",""
"7NSO","ribosomal RNA, transfer RNA","ribosome",""
"7NSP","ribosomal RNA, transfer RNA","ribosome",""
"7NSQ","ribosomal RNA, transfer RNA","ribosome",""
"7NWG","ribosomal RNA, transfer RNA","ribosome",""
"7NWH","ribosomal RNA","ribosome, translation",""
"7NWI","ribosomal RNA, transfer RNA","ribosome",""
"7NWT","ribosomal RNA, transfer RNA","helicase, ribosome",""
"7NWW","ribosomal RNA, transfer RNA","ribosome, translation",""
"7O19","ribosomal RNA, transfer RNA","ribosome",""
"7O1A","ribosomal RNA, transfer RNA","ribosome",""
"7O1C","ribosomal RNA, transfer RNA","ribosome, translation",""
"7O5B","ribosomal RNA, SRP RNA, transfer RNA","ribosome, signal recognition particle (SRP)",""
"7O5H","ribosomal RNA","methylase, ribosome",""
"7O7Y","frameshifting element, ribosomal RNA, transfer RNA","polymerase, ribosome",""
"7O7Z","frameshifting element, ribosomal RNA, transfer RNA","polymerase, ribosome",""
"7O80","frameshifting element, ribosomal RNA, transfer RNA","polymerase, ribosome, translation",""
"7O81","frameshifting element, ribosomal RNA, transfer RNA","polymerase, ribosome, translation",""
"7O9K","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7O9M","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7OBR","ribosomal RNA, SRP RNA","protease, ribosome, signal recognition particle (SRP)",""
"7ODE","ribosomal RNA","ribosome",""
"7ODR","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7ODS","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7ODT","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7OE0","ribosomal RNA","ribosome",""
"7OE1","ribosomal RNA","ribosome",""
"7OF0","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7OF1","ribosomal RNA","ribosome, translation",""
"7OF2","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OF3","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7OF4","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OF5","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7OF6","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OF7","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7OG4","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OH3","ribosomal RNA","ribosome, translation",""
"7OHP","ribosomal RNA","helicase, ribosome, translation",""
"7OHQ","ribosomal RNA","ribosome, translation",""
"7OHR","ribosomal RNA","helicase, methylase, ribosome, splicing, translation",""
"7OHS","ribosomal RNA","helicase, ribosome, transcription, translation",""
"7OHT","ribosomal RNA","ribosome, translation",""
"7OHU","ribosomal RNA","ribosome, translation",""
"7OHV","ribosomal RNA","helicase, methylase, ribosome, splicing, translation",""
"7OHW","ribosomal RNA","helicase, ribosome, splicing, transcription, translation",""
"7OHX","ribosomal RNA","helicase, ribosome, transcription, translation",""
"7OHY","ribosomal RNA","ribosome, translation",""
"7OI0","ribosomal RNA","ribosome",""
"7OI6","ribosomal RNA, transfer RNA","centromere, helicase, methylase, ribosome, translation",""
"7OI7","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OI8","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OI9","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OIA","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OIB","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OIC","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"7OID","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OIE","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OIF","ribosomal RNA, transfer RNA","ribosome, transcription",""
"7OIG","ribosomal RNA, transfer RNA","ribosome, transcription",""
"7OII","ribosomal RNA, transfer RNA","regulatory, ribosome",""
"7OIZ","ribosomal RNA, transfer RNA","ribosome",""
"7OJ0","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OLC","ribosomal RNA","helicase, ribosome",""
"7OLD","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OOC","ribosomal RNA","ribosome",""
"7OOD","ribosomal RNA","ribosome",""
"7OPE","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OSA","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OSM","ribosomal RNA, transfer RNA","ribosome, translation",""
"7OT5","ribosomal RNA, transfer RNA","ribosome, transcription",""
"7OTC","ribosomal RNA","ribosome, translation",""
"7OW7","ribosomal RNA","ribosome, translation",""
"7OYA","ribosomal RNA","ribosome, translation",""
"7OYB","ribosomal RNA","ribosome",""
"7OYC","ribosomal RNA","ribosome, translation",""
"7OYD","ribosomal RNA","ribosome, translation",""
"7OZQ","ribosomal RNA","ribosome",""
"7OZS","ribosomal RNA","ribosome, translation",""
"7P2E","ribosomal RNA","ribosome, translation",""
"7P3K","ribosomal RNA, transfer RNA","ribosome",""
"7P48","ribosomal RNA, transfer RNA","ribosome",""
"7P6Z","ribosomal RNA, transfer RNA","ribosome",""
"7P7Q","ribosomal RNA, transfer RNA","ribosome, translation",""
